score,ligand_descriptor
-0.03323129140273573,NumBridgeheadAtoms
0.2295381084081194,NumAromaticHeterocycles
0.2362787959710041,NumSaturatedRings
0.24234027717050244,NumSaturatedHeterocycles
0.26189306295186765,NumAliphaticHeterocycles
0.2626812207472996,NumHeterocycles
0.2690382212538148,NumAliphaticRings
0.2843730605299105,FractionCSP3
0.3170264001005174,NumSpiroAtoms
0.34575798732438323,NumAromaticRings
0.35500909641024725,NumRings
0.43878405538762066,chi4v
0.4898897797835352,CrippenClogP
0.5073985052467266,NumAtomStereoCenters
0.5073985052467266,NumUnspecifiedAtomStereoCenters
0.5595822757091233,NumHBA
0.6059317955452403,hallKierAlpha
0.6138586222407657,NumAmideBonds
0.6351943066071273,chi2v
0.6351943066071273,chi3v
0.643699910800432,lipinskiHBD
0.6592638562879348,NumHeteroatoms
0.6620019153153728,NumHBD
0.6744104281769097,tpsa
0.6812550707201654,chi4n
0.6861402189534471,lipinskiHBA
0.7103776058012292,kappa3
0.7264130470531958,NumRotatableBonds
0.7342344554521174,chi2n
0.7342344554521174,chi3n
0.750904837144605,Phi
0.752354973634377,amw
0.7524794905142489,exactmw
0.7615250792362223,NumHeavyAtoms
0.7627747675319344,chi1v
0.7662860634858588,labuteASA
0.7679618387351478,kappa2
0.7688218676650855,kappa1
0.7695632167453181,CrippenMR
0.7742418985834172,chi0v
0.7766942629677777,chi1n
0.7785471878189071,chi0n
0.7847170058032599,NumAtoms
